stock_permalink,stock_id,quarter_id,quarter_description,net_buys,average_ranking,market_cap_13f,held_by,total_shares,name,put_call_ratio,sell_buy_ratio,closing_price,avg_short_volume,total_volume,high,low,open
true,167680,73,2019-01-02,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,16.78,90461,4034112,16,16.11,16.14
true,167680,73,2019-01-03,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,15.65,42185,7677923,16,15.57,16.22
true,167680,73,2019-01-04,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,16.5,203086,9869903,16,15.84,15.84
true,167680,73,2019-01-07,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,17,223704,5980663,17,16.33,16.64
true,167680,73,2019-01-08,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,16.54,50104,10946712,17,16.26,17.15
true,167680,73,2019-01-09,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,17.81,51795,11321958,17,16.76,16.81
true,167680,73,2019-01-10,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,17.89,48800,6477311,18,17.41,17.61
true,167680,73,2019-01-11,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,18.49,22130,10001883,18,17.87,17.91
true,167680,73,2019-01-14,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,17.71,18553,6465309,18,17.7,18.11
true,167680,73,2019-01-15,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,17.84,60389,4061217,18,17.745,17.82
true,167680,73,2019-01-16,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,17.63,56029,3422834,18,17.59,17.9
true,167680,73,2019-01-17,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,17.82,44050,6039729,17,17.21,17.44
true,167680,73,2019-01-18,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,18.41,217475,5807748,18,17.86,17.9
true,167680,73,2019-01-22,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,17.76,27223,5946856,18,17.59,18.18
true,167680,73,2019-01-23,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,17.61,92109,4549300,18,17.265,17.92
true,167680,73,2019-01-24,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,18.99,38080,11712233,19,18.01,18.08
true,167680,73,2019-01-25,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,20.12,227016,10193170,20,19.06,19.09
true,167680,73,2019-01-28,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,19.66,154957,6704614,19,19.25,19.34
true,167680,73,2019-01-29,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,19.38,29012,5996590,19,19.345,19.65
true,167680,73,2019-01-30,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,20.04,105745,7143521,20,19.43,19.57
true,167680,73,2019-01-31,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,20.04,77238,5948586,20,19.84,19.87
true,167680,73,2019-02-01,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,20.8,206255,12744852,20,19.98,20.05
true,167680,73,2019-02-04,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.59,81653,15699875,21,20.22,21.17
true,167680,73,2019-02-05,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.88,64815,9653782,22,21.28,21.42
true,167680,73,2019-02-06,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.82,63566,15122431,23,22.2,22.24
true,167680,73,2019-02-07,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.25,73381,7778040,22,21.87,22.39
true,167680,73,2019-02-08,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.84,57569,9003614,22,21.435,21.83
true,167680,73,2019-02-11,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.24,26089,7284095,22,21.815,21.99
true,167680,73,2019-02-12,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.73,292000,4698451,22,22.38,22.52
true,167680,73,2019-02-13,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.93,101376,5720942,22,22.54,22.78
true,167680,73,2019-02-14,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.91,258925,4495287,23,22.64,22.76
true,167680,73,2019-02-15,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.97,2124656,3900197,23,22.75,22.99
true,167680,73,2019-02-19,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.78,743657,4299527,22,22.63,22.86
true,167680,73,2019-02-20,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.59,291574,5760161,22,22.58,22.9
true,167680,73,2019-02-21,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.46,406073,4909309,22,22.365,22.56
true,167680,73,2019-02-22,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.84,733599,3748054,23,22.595,22.75
true,167680,73,2019-02-25,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.97,235128,3988308,23,22.94,23.14
true,167680,73,2019-02-26,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.52,519038,3781538,22,22.47,22.69
true,167680,73,2019-02-27,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.57,218895,9581349,22,21.15,22
true,167680,73,2019-02-28,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.48,182243,5344147,21,21.29,21.41
true,167680,73,2019-03-01,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.67,171791,4719002,21,21.35,21.78
true,167680,73,2019-03-04,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.92,106807,5964275,22,21.52,22.39
true,167680,73,2019-03-05,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.84,78519,5146713,22,21.6,21.89
true,167680,73,2019-03-06,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.4,74257,7194762,21,21.275,21.8
true,167680,73,2019-03-07,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.33,106792,7988069,21,20.88,21.24
true,167680,73,2019-03-08,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.14,67599,10425303,22,20.88,20.94
true,167680,73,2019-03-11,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.61,56834,6755540,22,22.27,22.42
true,167680,73,2019-03-12,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.47,47260,6132542,22,22.365,22.74
true,167680,73,2019-03-13,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.31,154440,4866401,22,22.265,22.67
true,167680,73,2019-03-14,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.06,188461,4609999,22,22.01,22.28
true,167680,73,2019-03-15,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.17,81414,7361890,22,22.06,22.3
true,167680,73,2019-03-18,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.91,86129,7026828,22,21.698,22.14
true,167680,73,2019-03-19,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.01,64614,7833470,23,21.82,22.09
true,167680,73,2019-03-20,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.36,106033,9073276,22,20.99,22.03
true,167680,73,2019-03-21,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,22.45,77655,7926696,22,21.28,21.28
true,167680,73,2019-03-22,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21.64,151976,4675502,22,21.51,22.31
true,167680,73,2019-03-25,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,20.96,86431,6036038,21,20.7,21.15
true,167680,73,2019-03-26,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,21,135003,3562552,21,20.8,21.33
true,167680,73,2019-03-27,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,20.56,85510,12921912,21,20.24,21.62
true,167680,73,2019-03-28,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,20.27,147695,8461148,20,19.96,20.42
true,167680,73,2019-03-29,36,1786,668211087,111,100628313,"TRUECAR INC",0.44822415432617,,20.57,119014,6189068,20,20.39,20.62
true,167680,74,2019-04-01,34,1888,531941070,112,97445056,"TRUECAR INC",0.87073981712386,,21.5,63608,7207484,21,20.83,21.19
true,167680,74,2019-04-02,34,1888,531941070,112,97445056,"TRUECAR INC",0.87073981712386,,21.46,49032,6812862,21,21.24,21.44
true,167680,74,2019-04-03,34,1888,531941070,112,97445056,"TRUECAR INC",0.87073981712386,,22.37,89289,11109896,22,21.81,22.05
true,167680,74,2019-04-04,34,1888,531941070,112,97445056,"TRUECAR INC",0.87073981712386,,22.43,57086,4116116,22,22.123,22.2
true,167680,74,2019-04-05,34,1888,531941070,112,97445056,"TRUECAR INC",0.87073981712386,,22.81,0,3345659,22,22.56,22.74
